"coefficient_name","coefficient_estimate"
"location.housingneither",0.834728200968213
"location.housingtransit",2.66523514048643
"precinct101",-1.04944644247707
"precinct111",1.44821091187619
"precinct112",0.767725819908822
"precinct115",-0.819102834609415
"precinct13",0.643674473370521
"precinct17",0.787751155720181
"precinct23",-0.802587600147999
"precinct24",-1.10595447572541
"precinct25",0.957122265623882
"precinct41",-0.854239176498475
"precinct44",-1.28765808323855
"precinct46",-0.781561425984779
"precinct50",-1.22108537349137
"precinct52",-1.02388426738172
"precinct75",-0.808384819231907
"precinct9",0.753828389495147
"stopped.bc.objectTRUE",2.48746126018922
"stopped.bc.otherTRUE",0.737777781459273
